Keys,English (Canada),French (Canada)
##gamemenu_toolrackwheel_exclusive_geomancer_text,Only store artificer kits,N'entrepose que des kits d'artificier
##gamemenu_toolrackwheel_exclusive_alchemist,Alchemist,Alchimiste
##gamemenu_toolrackwheel_exclusive_alchemist_text,Only store alchemist kits,N'entrepose que des kits d'alchimiste
##gamemenu_toolrackwheel_exclusive_halberdier,Halberdier,Hallebardier
##gamemenu_toolrackwheel_exclusive_halberdier_text,Only store halberdier kits,N'entrepose que des kits d'hallebardier
,,
##gamemenu_selecttaskwheel_repairtask,Repair Task,Réparation
##gamemenu_selecttaskwheel_repairtask_text,Repair all bricks in the area.,Répare toutes les briques dans les environs.
##gamemenu_selecttaskwheel_landscapetask,Flatten Task,Aplanir
##gamemenu_selecttaskwheel_landscapetask_text,Flat out the area.,Aplanit le terrain.
##gamemenu_selecttaskwheel_constructiontask,Construction Task,Construction
##gamemenu_selecttaskwheel_constructiontask_text,Build structures and place blocks.,Construisez des structures et placez des blocs.
##gamemenu_selecttaskwheel_quarry,Quarry,Excavation
##gamemenu_selecttaskwheel_quarry_text,Gather stones from the ground to stockpile.,Extrait de la pierre du sol.
##gamemenu_selecttaskwheel_harvestask,Harvest Task,Récolte
##gamemenu_selecttaskwheel_harvestask_text,Harvest ressources and bring them to stockpiles.,Récolte des ressources et les stockent sur des palettes.
##gamemenu_selecttaskwheel_cleaningtask,Cleaning Task,Ménage
##gamemenu_selecttaskwheel_cleaningtask_text,Collect ressources that are lying on the ground.,Ramasse les ressources qui gisent sur le sol.
##gamemenu_selecttaskwheel_tunnel,Tunnel,Tunnel
##gamemenu_selecttaskwheel_tunnel_text,Gather stone from walls and cliffs.,Extrait de la pierre des murs et des collines.
##gamemenu_selecttaskwheel_deselectgroup,Deselect Group,Désélectionner
##gamemenu_selecttaskwheel_deselectgroup_text,Deselect the current group.,Désélectionne le groupe actuel.
,,
##gamemenu_constructionwheel_brickshub,Bricks Hub,Maçonnerie
##gamemenu_constructionwheel_brickshub_text,Build block variants such as stairs and pillars.,Contient des variantes de blocs tels que des escaliers et des piliers.
##gamemenu_constructionwheel_brick,Brick,Brique
##gamemenu_constructionwheel_brick_text,The standard 1 by 2 brick used to build walls.,La brique standard 1 par 2 utilisée pour construire des murs.
##gamemenu_constructionwheel_halfbrick,Half Brick,Demi Brique
##gamemenu_constructionwheel_halfbrick_text,A 1 by 1 block used to patch holes in walls.,Un bloc 1 par 1 utilisé pour boucher des trous dans les murs.
##gamemenu_constructionwheel_arch,Arch,Arche
##gamemenu_constructionwheel_arch_text,Bricktrons travel on arches or can cross under them.,Les Bricktrons peuvent passer en dessous ou au dessus.
##gamemenu_constructionwheel_stair,Stairs Brick,Brique Escalier
##gamemenu_constructionwheel_stair_text,Use stairs bricks to build higher.,Permet de construire en hauteur.
##gamemenu_constructionwheel_stairsingle,Stairs Block,Bloc Escalier
##gamemenu_constructionwheel_stairsingle_text,Only the stairs half of a stairs brick.,Seulement les marches d'une brique escalier.
##gamemenu_constructionwheel_stairspiralleft,Left Spiral Stairs,Colimaçon Gauche
##gamemenu_constructionwheel_stairspiralleft_text,A spiral stairs brick.,Une brique d'escalier en colimaçon.
##gamemenu_constructionwheel_stairspiralright,Right Spiral Stairs,Colimaçon Droit
##gamemenu_constructionwheel_stairspiralright_text,A spiral stairs brick.,Une brique d'escalier en colimaçon.
##gamemenu_constructionwheel_staircornerleft,Left Corner Stairs,Escalier en Coin Gauche
##gamemenu_constructionwheel_staircornerleft_text,A corner stairs brick.,Une brique d'escalier en coin.
##gamemenu_constructionwheel_staircornerright,Right Corner Stairs,Escalier en Coin Droit
##gamemenu_constructionwheel_staircornerright_text,A corner stairs brick.,Une brique d'escalier en coin.
##gamemenu_constructionwheel_staircornersingle,Inward Corner Stairs Block,Bloc Escalier en Coin Intérieur
##gamemenu_constructionwheel_staircornersingle_text,Only the stairs half of a corner stairs brick.,Seulement les marches d'une brique d'escalier en coin.
##gamemenu_constructionwheel_invertstaircornersingle,Outward Corner Stairs Block,Bloc Escalier en Coin Extérieur
##gamemenu_constructionwheel_invertstaircornersingle_text,A stairs corner brick for outward stairs,Un bloc pour les coins extérieurs d'escalier
##gamemenu_constructionwheel_curvedright,Curved Right,Courbe à Droite
##gamemenu_constructionwheel_curvedright_text,"A 1 by 2 brick used to build walls, curved right.",Une brique 1 par 2 courbée vers la droite.
##gamemenu_constructionwheel_curvedleft,Curved Left,Courbe à Gauche
##gamemenu_constructionwheel_curvedleft_text,"A 1 by 2 brick used to build walls, curved left.",Une brique 1 par 2 courbée vers la gauche.
##gamemenu_constructionwheel_curvedbrick,Curved Brick,Brique Courbée
##gamemenu_constructionwheel_curvedbrick_text,"A 1 by 2 brick used to build walls, half-curved.",Une brique 1 par 2 courbée.
##gamemenu_constructionwheel_stonecolumn_basic,Stone Column,Colonne de Pierre
##gamemenu_constructionwheel_stonecolumn_basic_text,The go-to block for solid stone support.,Le bloc recommandé pour du support solide.
##gamemenu_constructionwheel_stonecolumn_fluted,Fluted Column,Colonne Flutée
##gamemenu_constructionwheel_stonecolumn_fluted_text,This fluted column's style is characteristic of the hellenistic period.,Cette colonne flutée est typique de la période hellenistique.
##gamemenu_constructionwheel_stonecolumn_pillar,Stone Pillar,Pilier de Pierre
##gamemenu_constructionwheel_stonecolumn_pillar_text,A roughly sculpted block of stone. Gets the job done.,Un pilier de pierre grossièrement sculpté. Ça fait la job.
##gamemenu_constructionwheel_stonecolumn_round,Round Column,Colonne Ronde
##gamemenu_constructionwheel_stonecolumn_round_text,"Like the standard stone column, but rounded at the ends.",Colonne circulaire à l'assise arroundie.
##gamemenu_constructionwheel_stonecolumn_square,Square Column,Colonne Carré
##gamemenu_constructionwheel_stonecolumn_square_text,Slimmer version of the stone pillar.,Pilier de pierre à la coupe plus svelte.
##gamemenu_constructionwheel_roundbrick,Corner Brick,Coin Rond
##gamemenu_constructionwheel_roundbrick_text,A curved 1 by 1 block used to patch walls.,Une brique 1 par 1 courbée.
##gamemenu_constructionwheel_plugx,Plug X,Mortaise en X
##gamemenu_constructionwheel_plugx_text,Bricks for plugging wooden beams on.,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plugh,Plug H,Mortaise en H
##gamemenu_constructionwheel_plugh_text,Bricks for plugging wooden beams on.,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plugl,Plug L,Mortaise en L
##gamemenu_constructionwheel_plugl_text,Bricks for plugging wooden beams on.,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plugt,Plug T,Mortaise en T
##gamemenu_constructionwheel_plugt_text,Bricks for plugging wooden beams on.,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_plug,Plug,Mortaise
##gamemenu_constructionwheel_plug_text,Bricks for plugging wooden beams on.,Briques réceptacles pour poutres en bois.
##gamemenu_constructionwheel_merlon,Merlon,Merlon
##gamemenu_constructionwheel_merlon_text,A Merlon separates crenels in fortifications.,Un Merlon sépare deux créneaux dans une fortification.
##gamemenu_constructionwheel_merloncorner,Merlon Corner,Merlon en Coin
##gamemenu_constructionwheel_merloncorner_text,A Merlon corner.,Un Merlon en coin.
##gamemenu_constructionwheel_merlondouble,Double Merlon,Merlon Double
##gamemenu_constructionwheel_merlondouble_text,A wider Merlon.,Un Merlon plus large.
##gamemenu_constructionwheel_merlonconcave,Concave Merlon,Merlon Concave
##gamemenu_constructionwheel_merlonconcave_text,A Merlon for a concave corner.,Un Merlon en coin concave.
##gamemenu_constructionwheel_corbel1,Corbel 1,Corbeau 1
##gamemenu_constructionwheel_corbel1_text,An ornamental support block.,Un bloc de support ornemental.
##gamemenu_constructionwheel_corbel2,Corbel 2,Corbeau 2
##gamemenu_constructionwheel_corbel2_text,An ornamental support block.,Un bloc de support ornemental.
##gamemenu_constructionwheel_parapet1,Parapet 1,Parapet 1
##gamemenu_constructionwheel_parapet1_text,Block with a small roof section attached.,Bloc qui sert de bordure de toit.
##gamemenu_constructionwheel_parapet2,Parapet 2,Parapet 2
##gamemenu_constructionwheel_parapet2_text,Block with a small roof section attached.,Bloc qui sert de bordure de toit.
##gamemenu_constructionwheel_parapet3,Parapet 3,Parapet 3
##gamemenu_constructionwheel_parapet3_text,Block with a small roof section attached.,Bloc qui sert de bordure de toit.
,,
,,
,,
##gamemenu_constructionwheel_craftinghub,Crafting Hub,Artisanat
##gamemenu_constructionwheel_craftinghub_text,Build crafting stations.,Construisez des stations d'artisanat.
##gamemenu_constructionwheel_explosivebarrel,Explosive Barrel,Baril Explosif
##gamemenu_constructionwheel_explosivebarrel_text,A barrel filled with brimstone that can detonated.,Un baril rempli de soufre qui peut exploser.
##gamemenu_constructionwheel_beartrap,Bear Trap,Piège à Ours
##gamemenu_constructionwheel_beartrap_text,A trap for bears. And corrupt rocks.,Un piège à ours ou à Corruptrons.
##gamemenu_constructionwheel_structurehub,Structure Hub,Structures
##gamemenu_constructionwheel_structurehub_text,Build doors and catapults.,Construisez des portes et des catapultes.
##gamemenu_constructionwheel_choppingblock,Chopping Block,Bloc de coupe
##gamemenu_constructionwheel_choppingblock_text,Used to transform wood into planks.,Permet de transformer du bois brut en planches.
##gamemenu_constructionwheel_workbench,Workbench,Établi
##gamemenu_constructionwheel_workbench_text,Used to craft archer and halberdier kits,Permet de fabriquer des kits d'archer et d'hallebardier
##gamemenu_constructionwheel_furnace,Furnace,Fournaise
##gamemenu_constructionwheel_furnace_text,Used to smelt raw materials into goods.,Permet de fondre des matériaux en biens.
##gamemenu_constructionwheel_toolrack,Weapon Rack,Râtelier
##gamemenu_constructionwheel_toolrack_text,Store and equip weapons,Entrepose de l'équipement.
##gamemenu_constructionwheel_loom,Loom,Métier à Tisser
##gamemenu_constructionwheel_loom_text,Used to create rope and fabric.,Permet de fabriquer de la corde et du textile.
##gamemenu_constructionwheel_forge,Forge,Forge
##gamemenu_constructionwheel_forge_text,Used to build knight's equipment.,Sert à fabriquer de l'équipement pour chevalier.
##gamemenu_constructionwheel_machineshop,Machine Shop,Manufacture
##gamemenu_constructionwheel_machineshop_text,Used to make advanced apparatus like arbalist kits.,Permet la construction d'équipement mécanique tel des kits d'arbalétriers.
##gamemenu_constructionwheel_altar,Altar,Autel
##gamemenu_constructionwheel_altar_text,Used to make artificer's tools.,Permet de fabriquer l'équipement d'artificier.
##gamemenu_constructionwheel_laboratory,Laboratory,Laboratoire
##gamemenu_constructionwheel_laboratory_text,Temper with explosive substances using this crafting station.,Expérimentez avec des substances explosives sur cette station.
##gamemenu_constructionwheel_ropebridge,Rope Bridge,Pont de Corde
##gamemenu_constructionwheel_ropebridge_text,Build a flexible bridge between two ledges.,Pont flexible qui relie deux escarpements.
##gamemenu_constructionwheel_catapult,Catapult,Catapulte
##gamemenu_constructionwheel_catapult_text,Catapults throw explosive barrels at enemies.,Lance des barils explosifs.
##gamemenu_constructionwheel_door,Door,Porte
##gamemenu_constructionwheel_door_text,Doors can be locked to block pathways.,Les portes peuvent être barrées pour bloquer le chemin.
##gamemenu_constructionwheel_shakydoor,Rickety Door,Porte Déglinguée
##gamemenu_constructionwheel_shakydoor_text,Roughly built door of questionable structural integrity.,Porte brinquebalante à l'intégrité structurelle discutable.
##gamemenu_constructionwheel_heavydoor,Reinforced Door,Porte Renforcée
##gamemenu_constructionwheel_heavydoor_text,Heavy duty door reinforced with metal hinges and supports.,Porte renforcée de supports et charnières métalliques. Du solide.
##gamemenu_constructionwheel_window,Window,Fenêtre
##gamemenu_constructionwheel_window_text,Lets the Bricktrons see outside their fortress.,Permet aux Bricktrons de voir à l'extérieur de leur forteresse.
##gamemenu_constructionwheel_doublewindow,Double Window,Fenêtre Double
##gamemenu_constructionwheel_doublewindow_text,This bigger window lets even more light in.,Laisse entrer beaucoup de lumière.
##gamemenu_constructionwheel_stockpile,Stockpile,Palette
##gamemenu_constructionwheel_stockpile_text,Stockpiles hold bricks and logs for construction.,Les palettes servent à entreposer des ressources.
##gamemenu_constructionwheel_healingward,Healing Ward,Balise de Guérison
##gamemenu_constructionwheel_healingward_text,"Cast a healing aura for any friendly being close by.
<color=yellow> 1 iron ingot + 20 brimstone </color>","Projete un aura de guérison sur les alliés à proximité.
<color=yellow> 1 lingot de fer + 20 soufre </color>"
##gamemenu_constructionwheel_sentinelward,Sentinel Ward,Balise Sentinelle
##gamemenu_constructionwheel_sentinelward_text,"Emit protective wisps to harm hostiles.
<color=yellow> 1 iron ingot + 40 brimstone </color>","Attaque les ennemis avec des feux-follets.
<color=yellow> 1 lingot de fer + 40 soufre </color>"
##gamemenu_constructionwheel_lanternward,Lantern Ward,Balise Lanterne
##gamemenu_constructionwheel_lanternward_text,Reveals the surrounding area and emits light. <color=yellow> 1 iron ingot + 5 brimstone </color>,Révèle et illumine les environs. <color=yellow> 1 lingot de fer + 5 soufre </color>
##gamemenu_constructionwheel_pylonward,Pylon Ward,Balise de Relais
##gamemenu_constructionwheel_pylonward_text,Transmit energy from the home crystal to nearby wards. <color=yellow> 1 iron ingot + 10 brimstone </color>,Transmet de l'énergie entre le cristal et les balises. <color=yellow> 1 lingot de fer + 10 soufre </color>
